SystemID,StreetName,HouseNumber,UnitNumber,ContainerSize,ContainerType,RFID,TicketStatus,ServiceType,DateTime,UserName,Latitude,Longitude,BrokenComponent,BrokenComments
31121,Thirty-Seventh,100,,96 Gallon,Recycling,,UNSUCCESSFUL,96DEL,2/22/2013 12:33,jbennett,No Fix,No Fix,,
31120,Thirty-Seventh,100,,96 Gallon,Recycling,,UNSUCCESSFUL,96DEL,2/22/2013 12:24,jbennett,No Fix,No Fix,,
31119,Thirty-Seventh,100,,96 Gallon,Recycling,,UNSUCCESSFUL,96DEL,2/22/2013 12:23,jbennett,42.566928,-83.078445,,
31116,GROVES DR,3007,,96 Gallon,Recycling,130213014318000213830270,COMPLETED,96DEL,2/22/2013 12:22,jbennett,42.566928,-83.078445,,
31115,GROVES DR,2971,,96 Gallon,Recycling,130213013908000213830269,COMPLETED,96DEL,2/22/2013 12:18,jbennett,42.567144,-83.078802,,
31087,GRIGG DR,3575,,96 Gallon,Recycling,130213025452000213830312,COMPLETED,96DEL,2/22/2013 12:16,jbennett,42.542172,-83.07213,,
31086,GRIGG DR,3560,,96 Gallon,Recycling,130213024938000213830309,COMPLETED,96DEL,2/22/2013 12:16,jbennett,42.54215,-83.072293,,
31085,GREYSTONE DR,42776,,96 Gallon,Recycling,121218012428001212408247,COMPLETED,96DEL,2/22/2013 12:11,jbennett,42.600313,-82.997919,,
31084,GREYSTONE DR,42952,,96 Gallon,Recycling,121218013022001212408309,COMPLETED,96DEL,2/22/2013 12:08,jbennett,42.600313,-82.997919,,
31083,GREYSTONE DR,42721,,96 Gallon,Recycling,130215074735000213841850,COMPLETED,96DEL,2/22/2013 12:08,jbennett,42.600313,-82.997919,,
31082,GREYSTONE DR,42689,,96 Gallon,Recycling,130215075048000213841852,COMPLETED,96DEL,2/22/2013 12:04,jbennett,42.600313,-82.997919,,
31081,GREYSTONE DR,42625,,96 Gallon,Recycling,130215075415000213841854,COMPLETED,96DEL,2/22/2013 11:59,jbennett,42.600313,-82.997919,,
31080,GREYSTONE DR,42593,,96 Gallon,Recycling,130215074854000213841851,COMPLETED,96DEL,2/22/2013 14:51,jbennett,42.600313,-82.997919,,
31079,GREYSTONE DR,42577,,96 Gallon,Recycling,130215075229000213841853,COMPLETED,96DEL,2/22/2013 14:49,jbennett,42.600313,-82.997919,,
31074,GREGORY DR,37756,,96 Gallon,Recycling,130214132534000213638962,COMPLETED,96DEL,2/22/2013 14:47,jbennett,42.571609,-83.019451,,
31073,GREGORY DR,37740,,96 Gallon,Recycling,130214041256000213638655,COMPLETED,96DEL,2/22/2013 14:47,jbennett,42.571474,-83.019444,,
